Frame_Trial1;YPosition_Trial1;Normalized_Trial1;Frame_Trial2;YPosition_Trial2;Normalized_Trial2;Frame_Trial3;YPosition_Trial3;Normalized_Trial3
47;-267.95339975166314;;63;-271.36936974697016;;69;-273.1568831516595;
48;-268.2135988397598;;64;-271.74881024913685;;70;-272.1300070005746;
49;-267.30323837470996;;65;-271.7338499229421;;71;-271.5542494236322;
50;-267.4758240509032;;66;-271.2761602657308;;;;
51;-267.1295547323226;;67;-270.9656412570944;;;;
52;-267.73510834980004;;68;-270.83193665676015;;;;
53;-267.2309209041595;;69;-271.0115537946691;;;;
54;-266.8886366586685;;70;-271.2130214002599;;;;
55;-266.7933661222457;;71;-270.6322518661488;;;;
56;-267.2895745754241;;72;-270.2064034259786;;;;
57;-266.671702726364;;73;-270.7474296262731;;;;
58;-266.23252289485924;;74;-270.1069454248418;;;;
59;-266.32434287738795;;75;-269.76224040202993;;;;
60;-265.83034725952143;;;;;;;
61;-265.7131060094833;;;;;;;
62;-266.45026290321346;;;;;;;
63;-265.43593393135063;;;;;;;
64;-266.49866069412224;;;;;;;
65;-267.2918108625411;;;;;;;
66;-267.24213057804104;;;;;;;
67;-267.43892584419245;;;;;;;
68;-266.40126100730885;;;;;;;
69;-266.38194031333916;;;;;;;
70;-265.66105134773244;;;;;;;
71;-265.4412977828979;;;;;;;
72;-265.11442333889;;;;;;;
73;-265.06546653270715;;;;;;;
74;-265.31369120979303;;;;;;;
75;-265.1825269117355;;;;;;;
76;-264.17805712795257;;;;;;;
77;-264.2765424184799;;;;;;;
78;-264.44177041339873;;;;;;;
